Date,Open,High,Low,Close,Volume,ETF_Open,ETF_High,ETF_Low,ETF_Close,ETF_Volume,STK_MA7,STK_MA21,STK_RSI,STK_MACD,ETF_MA7,ETF_MA21,ETF_RSI,ETF_MACD
2005-03-28,5.4746,5.5016,5.4386,5.4466,76349185,17.238,17.432,17.238,17.238,725525,5.4759714285714285,5.409580952380953,48.78281978528999,-0.03735322990070955,17.254285714285714,17.612714285714286,19.548286391218113,-0.16175439205569475
2005-03-29,5.4466,5.4849,5.3147,5.3465,128646798,17.114,17.317,17.07,17.105,827661,5.466814285714285,5.3928666666666665,58.084885286554474,-0.04060159501145577,17.21357142857143,17.580095238095236,19.826224109346725,-0.17259289944814427
2005-03-30,5.3774,5.481,5.3556,5.481,109881234,17.131,17.407,17.131,17.364,1045542,5.463871428571428,5.3803,73.27504368919136,-0.03195456944282071,17.223857142857145,17.562380952380952,34.22818759785602,-0.15845676820919863
2005-03-31,5.4361,5.4454,5.3261,5.3364,177446775,17.364,17.468,17.317,17.39,613716,5.426742857142856,5.363047619047619,61.41625413171798,-0.03635072240821735,17.237857142857145,17.535714285714285,31.80236573052673,-0.14350160250109312
2005-04-01,5.3901,5.4016,5.1955,5.2366,178626772,17.336,17.513,17.201,17.238,2300643,5.391271428571429,5.343366666666666,53.68665666981572,-0.047342002111497195,17.252,17.504,33.6524296972504,-0.14227460255882818
2005-04-04,5.2235,5.2901,5.1428,5.2621,161757381,17.201,17.354,17.147,17.301,1083896,5.3645571428571435,5.339095238095238,54.503104893091475,-0.05337970555866445,17.265,17.481571428571428,33.16023704432985,-0.13466627379997576
2005-04-05,5.2748,5.4094,5.2621,5.3645,155700131,17.364,17.407,17.317,17.336,613602,5.3533857142857135,5.333485714285714,55.3433738794986,-0.049333123295805414,17.281714285714283,17.455333333333336,39.999999535269595,-0.12437865128178771
2005-04-06,5.4301,5.4823,5.3978,5.4209,115875061,17.414,17.478,17.301,17.309,509779,5.349714285714286,5.330928571428571,56.44456034433029,-0.041101377952587725,17.291857142857143,17.42147619047619,45.77397849873158,-0.1170549737956641
2005-04-07,5.4209,5.6025,5.4106,5.5782,141597901,17.327,17.549,17.327,17.54,740819,5.382814285714287,5.349399999999999,57.20054923456979,-0.021635464900749746,17.354,17.405809523809523,55.87774233362974,-0.09155573959661467
2005-04-08,5.5861,5.6923,5.5759,5.6013,181285925,17.567,17.586,17.39,17.414,480082,5.3999999999999995,5.376171428571429,54.54877200138444,-0.004295100374087646,17.36114285714286,17.385809523809524,54.677913523396654,-0.08058561890394955
