Date,Open,High,Low,Close,Volume,ETF_Open,ETF_High,ETF_Low,ETF_Close,ETF_Volume
2005-02-25,5.7411,5.7564,5.6461,5.6975,255345043,17.69,17.834,17.645,17.79,649598
2005-02-28,5.7192,5.7807,5.6295,5.7449,182064525,17.755,17.913,17.673,17.736,949704
2005-03-01,5.7753,5.7768,5.6553,5.6987,130906953,17.869,17.986,17.817,17.95,670855
2005-03-02,5.6653,5.7486,5.6451,5.6499,127769264,17.851,18.038,17.781,17.904,508091
2005-03-03,5.6861,5.6871,5.2786,5.3518,393686024,17.878,17.959,17.699,17.772,452526
2005-03-04,5.3518,5.5078,5.3518,5.4823,210891321,17.69,17.977,17.69,17.887,837785
2005-03-07,5.4823,5.5389,5.4235,5.4746,125688166,17.781,18.172,17.781,18.02,608430
2005-03-08,5.3631,5.3989,5.1353,5.1903,284832101,17.959,18.127,17.869,17.869,830809
2005-03-09,5.0701,5.1585,4.9726,5.0391,368655054,17.69,17.994,17.69,17.834,1064551
2005-03-10,5.0701,5.156,5.0073,5.1007,216651374,17.781,17.931,17.717,17.913,643972
2005-03-11,5.1406,5.198,5.0968,5.1573,175363191,17.79,18.004,17.638,17.682,636322
2005-03-14,5.189,5.2235,5.0611,5.1635,168811933,17.682,17.772,17.604,17.755,729688
2005-03-15,5.2059,5.2685,5.1546,5.2453,142565244,17.755,17.851,17.577,17.577,369848
2005-03-16,5.2774,5.418,5.2223,5.2735,194688663,17.559,17.604,17.345,17.398,637561
2005-03-17,5.3209,5.4914,5.2914,5.4106,223864044,17.373,17.478,17.336,17.39,378847
2005-03-18,5.5426,5.5631,5.4427,5.5016,267630167,17.336,17.442,17.229,17.292,1515503
2005-03-21,5.5476,5.6309,5.4888,5.5963,150909694,17.301,17.39,17.201,17.292,955106
2005-03-22,5.6,5.6295,5.4659,5.4849,153824003,17.292,17.38,17.098,17.139,1737436
2005-03-23,5.4427,5.5579,5.3813,5.4491,170221155,16.981,17.301,16.981,17.21,744986
2005-03-24,5.504,5.5065,5.4427,5.4427,98439294,17.157,17.39,17.157,17.219,506743
2005-03-28,5.4746,5.5016,5.4386,5.4466,76349185,17.238,17.432,17.238,17.238,725525
2005-03-29,5.4466,5.4849,5.3147,5.3465,128646798,17.114,17.317,17.07,17.105,827661
2005-03-30,5.3774,5.481,5.3556,5.481,109881234,17.131,17.407,17.131,17.364,1045542
2005-03-31,5.4361,5.4454,5.3261,5.3364,177446775,17.364,17.468,17.317,17.39,613716
2005-04-01,5.3901,5.4016,5.1955,5.2366,178626772,17.336,17.513,17.201,17.238,2300643
2005-04-04,5.2235,5.2901,5.1428,5.2621,161757381,17.201,17.354,17.147,17.301,1083896
2005-04-05,5.2748,5.4094,5.2621,5.3645,155700131,17.364,17.407,17.317,17.336,613602
2005-04-06,5.4301,5.4823,5.3978,5.4209,115875061,17.414,17.478,17.301,17.309,509779
2005-04-07,5.4209,5.6025,5.4106,5.5782,141597901,17.327,17.549,17.327,17.54,740819
2005-04-08,5.5861,5.6923,5.5759,5.6013,181285925,17.567,17.586,17.39,17.414,480082
2005-04-11,5.6653,5.6665,5.367,5.3684,229275996,17.495,17.495,17.301,17.317,806513
2005-04-12,5.4441,5.5308,5.38,5.4632,274084040,17.301,17.442,17.121,17.423,714388
2005-04-13,5.504,5.5052,5.1724,5.2556,392996341,17.354,17.39,17.114,17.175,886375
2005-04-14,4.9687,5.1198,4.7178,4.7717,769047131,17.105,17.147,16.915,16.933,746445
2005-04-15,4.6884,4.7704,4.5182,4.5271,482438341,16.722,16.749,16.411,16.42,1567917
2005-04-18,4.4911,4.6487,4.3538,4.5615,370169445,16.491,16.579,16.42,16.438,2297491
2005-04-19,4.6821,4.7948,4.5938,4.7497,303124477,16.643,16.676,16.537,16.643,794928
2005-04-20,4.8227,4.8332,4.5384,4.5476,266453208,16.849,16.849,16.429,16.491,894474
2005-04-21,4.6591,4.7652,4.5974,4.7615,212976462,16.579,16.943,16.579,16.933,1649360
2005-04-22,4.7125,4.7382,4.4692,4.5462,234139228,16.803,16.883,16.615,16.73,731598
2005-04-25,4.6727,4.7409,4.6244,4.7358,208444405,16.82,16.933,16.785,16.849,885927
2005-04-26,4.7064,4.8036,4.6258,4.6345,226668409,16.785,16.981,16.713,16.73,605730
2005-04-27,4.5845,4.6564,4.5476,4.6038,171368346,16.624,16.874,16.624,16.793,479972
2005-04-28,4.6463,4.6537,4.5129,4.5513,160641789,16.722,16.82,16.624,16.624,405506
2005-04-29,4.6167,4.6396,4.5102,4.6177,187399760,16.793,16.83,16.563,16.776,476597
